step,state,transition,probability,map
520,2,-1,0.031889935275690284,0.02984359033599282
521,1,1,0.9649767993535268,0.787063010980868
522,2,1,0.8456909823786849,0.9386488830765071
523,3,-1,0.42845220367717873,0.2867318946346401
524,2,1,0.9929639347685146,0.9386488830765071
525,3,-1,0.08793797584539509,0.2867318946346401
526,2,1,0.8687276501563903,0.9386488830765071
527,3,1,0.9252392444391668,0.9976573836424715
528,4,-1,0.3441743981948213,0.1854823723941773
529,3,0,0.8830696067562391,0.7843892782771116
530,3,-1,0.044213659915117276,0.2867318946346401
531,2,0,0.5371510822638614,0.4684924734124999
532,2,0,0.5304033498714398,0.4684924734124999
533,2,1,0.8219017763140168,0.9386488830765071
534,3,0,0.8204757850010596,0.7843892782771116
535,3,-1,0.37321653727915893,0.2867318946346401
536,2,0,0.6167801124746468,0.4684924734124999
537,2,1,0.8052999280016504,0.9386488830765071
538,3,-1,0.35978036477973996,0.2867318946346401
539,2,0,0.6235160821779457,0.4684924734124999
540,2,0,0.4989475945859443,0.4684924734124999
541,2,0,0.7000028136665462,0.4684924734124999
542,2,0,0.35099004887675367,0.4684924734124999
543,2,-1,0.13956903356476036,0.02984359033599282
544,1,1,0.856802599963917,0.787063010980868
545,2,-1,0.19448120996101004,0.02984359033599282
546,1,-1,0.07495008909157708,0.27845926077243577
547,0,0,0.5023615085036937,0.6361657848225597
548,0,0,0.5949993085255201,0.6361657848225597
549,0,1,0.8284929561474135,0.977549559440938
550,1,-1,0.37373254193617167,0.27845926077243577
551,0,-1,0.2159335892691987,0.15861622538162168
552,7,-1,0.14380638768902232,0.3067155330597854
553,6,1,0.9848510912186195,0.6517340819109905
554,7,0,0.7991789696893563,0.7622678420137292
555,7,0,0.7091739521362643,0.7622678420137292
556,7,1,0.9651153871754565,0.9555523089539438
557,0,-1,0.3792564386413806,0.15861622538162168
558,7,-1,0.11504593369642313,0.3067155330597854
559,6,0,0.12394943533705804,0.1693936121412033
560,6,1,0.568981829469362,0.6517340819109905
561,7,0,0.8466868554281137,0.7622678420137292
562,7,1,0.9485600548048638,0.9555523089539438
563,0,1,0.8922560626429157,0.977549559440938
564,1,1,0.8376234506755249,0.787063010980868
565,2,0,0.6886451653501058,0.4684924734124999
566,2,0,0.5967445691225022,0.4684924734124999
567,2,1,0.9458390041902178,0.9386488830765071
568,3,-1,0.3500764806442831,0.2867318946346401
569,2,0,0.6379595938102947,0.4684924734124999
570,2,1,0.987363000987658,0.9386488830765071
571,3,0,0.8705915350538489,0.7843892782771116
572,3,1,0.9135595751540087,0.9976573836424715
573,4,1,0.9631956484543582,0.8463931411814867
574,5,0,0.7540006470913583,0.7874042703127457
575,5,0,0.5664304264412701,0.7874042703127457
